commentId,comment,classification,comment_processed,word_phrase_list,nice,renovate,examination,examination room,room,similarity_score
97445,They keep you waiting in the waiting room and examination rooms and are never on time,1,wait wait room examination room time,"['wait', 'wait wait', 'wait wait room', 'wait wait room examination', 'wait wait room examination room', 'wait wait room examination room time', 'wait', 'wait room', 'wait room examination', 'wait room examination room', 'wait room examination room time', 'room', 'room examination', 'room examination room', 'room examination room time', 'examination', 'examination room', 'examination room time', 'room', 'room time', 'time']",0,0,1,1,1,0.3
104041,Really nice doctor and very well manner.,0,nice doctor manner,"['nice', 'nice doctor', 'nice doctor manner', 'doctor', 'doctor manner', 'manner']",1,0,0,0,0,0.1
134920,The pain I was having in my legs has decreased nice I had the procedure 6 weeks ago.,0,pain have leg decrease nice,"['pain', 'pain have', 'pain have leg', 'pain have leg decrease', 'pain have leg decrease nice', 'have', 'have leg', 'have leg decrease', 'have leg decrease nice', 'leg', 'leg decrease', 'leg decrease nice', 'decrease', 'decrease nice', 'nice']",1,0,0,0,0,0.1
91661,"so helpful and caring, the remembered me when I called and remembered my procedure from the operating room.",0,helpful dare remember call remember procedure operate room,"['helpful', 'helpful dare', 'helpful dare remember', 'helpful dare remember call', 'helpful dare remember call remember', 'helpful dare remember call remember procedure', 'helpful dare remember call remember procedure operate', 'helpful dare remember call remember procedure operate room', 'dare', 'dare remember', 'dare remember call', 'dare remember call remember', 'dare remember call remember procedure', 'dare remember call remember procedure operate', 'dare remember call remember procedure operate room', 'remember', 'remember call', 'remember call remember', 'remember call remember procedure', 'remember call remember procedure operate', 'remember call remember procedure operate room', 'call', 'call remember', 'call remember procedure', 'call remember procedure operate', 'call remember procedure operate room', 'remember', 'remember procedure', 'remember procedure operate', 'remember procedure operate room', 'procedure', 'procedure operate', 'procedure operate room', 'operate', 'operate room', 'room']",0,0,0,0,1,0.1
148700,and using a high evacuation system in the rooms to purify and suck in the air and any particles that might be in it.,0,high evacuation system room purify suck air particle,"['high', 'high evacuation', 'high evacuation system', 'high evacuation system room', 'high evacuation system room purify', 'high evacuation system room purify suck', 'high evacuation system room purify suck air', 'high evacuation system room purify suck air particle', 'evacuation', 'evacuation system', 'evacuation system room', 'evacuation system room purify', 'evacuation system room purify suck', 'evacuation system room purify suck air', 'evacuation system room purify suck air particle', 'system', 'system room', 'system room purify', 'system room purify suck', 'system room purify suck air', 'system room purify suck air particle', 'room', 'room purify', 'room purify suck', 'room purify suck air', 'room purify suck air particle', 'purify', 'purify suck', 'purify suck air', 'purify suck air particle', 'suck', 'suck air', 'suck air particle', 'air', 'air particle', 'particle']",0,0,0,0,1,0.1
59290,The facility itself could be a little bit nicer facility.,1,facility little bit nice facility,"['facility', 'facility little', 'facility little bit', 'facility little bit nice', 'facility little bit nice facility', 'little', 'little bit', 'little bit nice', 'little bit nice facility', 'bit', 'bit nice', 'bit nice facility', 'nice', 'nice facility', 'facility']",1,0,0,0,0,0.1
99786,very nice group.,0,nice group,"['nice', 'nice group', 'group']",1,0,0,0,0,0.1
63103,"He's a very nice, patient, and understanding doctor.",0,nice patient understanding doctor,"['nice', 'nice patient', 'nice patient understanding', 'nice patient understanding doctor', 'patient', 'patient understanding', 'patient understanding doctor', 'understanding', 'understanding doctor', 'doctor']",1,0,0,0,0,0.1
67543,"Very nice, I finally feel Ok with care.",0,nice finally feel ok care,"['nice', 'nice finally', 'nice finally feel', 'nice finally feel ok', 'nice finally feel ok care', 'finally', 'finally feel', 'finally feel ok', 'finally feel ok care', 'feel', 'feel ok', 'feel ok care', 'ok', 'ok care', 'care']",1,0,0,0,0,0.1
135339,Excellent Service very Nice People n Always welcome you to take The Pain away.,0,excellent service nice people n welcome pain away,"['excellent', 'excellent service', 'excellent service nice', 'excellent service nice people', 'excellent service nice people n', 'excellent service nice people n welcome', 'excellent service nice people n welcome pain', 'excellent service nice people n welcome pain away', 'service', 'service nice', 'service nice people', 'service nice people n', 'service nice people n welcome', 'service nice people n welcome pain', 'service nice people n welcome pain away', 'nice', 'nice people', 'nice people n', 'nice people n welcome', 'nice people n welcome pain', 'nice people n welcome pain away', 'people', 'people n', 'people n welcome', 'people n welcome pain', 'people n welcome pain away', 'n', 'n welcome', 'n welcome pain', 'n welcome pain away', 'welcome', 'welcome pain', 'welcome pain away', 'pain', 'pain away', 'away']",1,0,0,0,0,0.1
