commentId,comment,classification,comment_processed,word_phrase_list,think,expect,expect work,work,similarity_score
169075,If you are thinking about improving your appearance and want a competent,0,think better appearance want competent,"['think', 'think better', 'think better appearance', 'think better appearance want', 'think better appearance want competent', 'better', 'better appearance', 'better appearance want', 'better appearance want competent', 'appearance', 'appearance want', 'appearance want competent', 'want', 'want competent', 'competent']",1,0,0,0,0.12820512820512822
97081,and i trust her to make it better because she is already doing what i almost thought was impossible!,0,trust good think impossible,"['trust', 'trust good', 'trust good think', 'trust good think impossible', 'good', 'good think', 'good think impossible', 'think', 'think impossible', 'impossible']",1,0,0,0,0.14705882352941177
90478,I urge you to try I think you will see a difference.,0,urge try think difference,"['urge', 'urge try', 'urge try think', 'urge try think difference', 'try', 'try think', 'try think difference', 'think', 'think difference', 'difference']",1,0,0,0,0.14705882352941177
96811,I think that he is awesome,0,think amazing,"['think', 'think amazing', 'amazing']",1,0,0,0,0.18518518518518517
67000,What worked well was the waiting time to be seen by a doctor and also seeing patients by the severity of their illness,0,work wait time see doctor see patient severity illness,"['work', 'work wait', 'work wait time', 'work wait time see', 'work wait time see doctor', 'work wait time see doctor see', 'work wait time see doctor see patient', 'work wait time see doctor see patient severity', 'work wait time see doctor see patient severity illness', 'wait', 'wait time', 'wait time see', 'wait time see doctor', 'wait time see doctor see', 'wait time see doctor see patient', 'wait time see doctor see patient severity', 'wait time see doctor see patient severity illness', 'time', 'time see', 'time see doctor', 'time see doctor see', 'time see doctor see patient', 'time see doctor see patient severity', 'time see doctor see patient severity illness', 'see', 'see doctor', 'see doctor see', 'see doctor see patient', 'see doctor see patient severity', 'see doctor see patient severity illness', 'doctor', 'doctor see', 'doctor see patient', 'doctor see patient severity', 'doctor see patient severity illness', 'see', 'see patient', 'see patient severity', 'see patient severity illness', 'patient', 'patient severity', 'patient severity illness', 'severity', 'severity illness', 'illness']",0,0,0,1,0.07246376811594205
130635,For example he insists most everyone gets veneers and more advanced procedure when often a simple procedure will work.,1,example insist get center advance procedure simple procedure work,"['example', 'example insist', 'example insist get', 'example insist get center', 'example insist get center advance', 'example insist get center advance procedure', 'example insist get center advance procedure simple', 'example insist get center advance procedure simple procedure', 'example insist get center advance procedure simple procedure work', 'insist', 'insist get', 'insist get center', 'insist get center advance', 'insist get center advance procedure', 'insist get center advance procedure simple', 'insist get center advance procedure simple procedure', 'insist get center advance procedure simple procedure work', 'get', 'get center', 'get center advance', 'get center advance procedure', 'get center advance procedure simple', 'get center advance procedure simple procedure', 'get center advance procedure simple procedure work', 'center', 'center advance', 'center advance procedure', 'center advance procedure simple', 'center advance procedure simple procedure', 'center advance procedure simple procedure work', 'advance', 'advance procedure', 'advance procedure simple', 'advance procedure simple procedure', 'advance procedure simple procedure work', 'procedure', 'procedure simple', 'procedure simple procedure', 'procedure simple procedure work', 'simple', 'simple procedure', 'simple procedure work', 'procedure', 'procedure work', 'work']",0,0,0,1,0.07246376811594205
161000,I trusted his work and did not go against his advice.,0,trust work not advice,"['trust', 'trust work', 'trust work not', 'trust work not advice', 'work', 'work not', 'work not advice', 'not', 'not advice', 'advice']",0,0,0,1,0.14705882352941177
152108,From the first appointment I was impressed with her and her work.,0,appointment impress work,"['appointment', 'appointment impress', 'appointment impress work', 'impress', 'impress work', 'work']",0,0,0,1,0.16666666666666666
86062,"So FYI, they never pick up the phone if you work 9a to 5p, M-F like me",1,foi pick phone work p like,"['foi', 'foi pick', 'foi pick phone', 'foi pick phone work', 'foi pick phone work p', 'foi pick phone work p like', 'pick', 'pick phone', 'pick phone work', 'pick phone work p', 'pick phone work p like', 'phone', 'phone work', 'phone work p', 'phone work p like', 'work', 'work p', 'work p like', 'p', 'p like', 'like']",0,0,0,1,0.1111111111111111
139637,"Mostly because my treatment worked,",0,treatment work,"['treatment', 'treatment work', 'work']",0,0,0,1,0.18518518518518517
