commentId,comment,classification,comment_processed,word_phrase_list,improvement,improvement see,see,similarity_score
145055,"I cant wait to try his CoolSculpt, many of my friends have done it and have seen amazing results.",0,wait try coolsculpt friend see amaze result,"['wait', 'wait try', 'wait try coolsculpt', 'wait try coolsculpt friend', 'wait try coolsculpt friend see', 'wait try coolsculpt friend see amaze', 'wait try coolsculpt friend see amaze result', 'try', 'try coolsculpt', 'try coolsculpt friend', 'try coolsculpt friend see', 'try coolsculpt friend see amaze', 'try coolsculpt friend see amaze result', 'coolsculpt', 'coolsculpt friend', 'coolsculpt friend see', 'coolsculpt friend see amaze', 'coolsculpt friend see amaze result', 'friend', 'friend see', 'friend see amaze', 'friend see amaze result', 'see', 'see amaze', 'see amaze result', 'amaze', 'amaze result', 'result']",0,0,1,0.3846153846153846
67000,What worked well was the waiting time to be seen by a doctor and also seeing patients by the severity of their illness,0,work wait time see doctor see patient severity illness,"['work', 'work wait', 'work wait time', 'work wait time see', 'work wait time see doctor', 'work wait time see doctor see', 'work wait time see doctor see patient', 'work wait time see doctor see patient severity', 'work wait time see doctor see patient severity illness', 'wait', 'wait time', 'wait time see', 'wait time see doctor', 'wait time see doctor see', 'wait time see doctor see patient', 'wait time see doctor see patient severity', 'wait time see doctor see patient severity illness', 'time', 'time see', 'time see doctor', 'time see doctor see', 'time see doctor see patient', 'time see doctor see patient severity', 'time see doctor see patient severity illness', 'see', 'see doctor', 'see doctor see', 'see doctor see patient', 'see doctor see patient severity', 'see doctor see patient severity illness', 'doctor', 'doctor see', 'doctor see patient', 'doctor see patient severity', 'doctor see patient severity illness', 'see', 'see patient', 'see patient severity', 'see patient severity illness', 'patient', 'patient severity', 'patient severity illness', 'severity', 'severity illness', 'illness']",0,0,1,0.3846153846153846
151126,I had 8 applicators put on and after just 2 months I saw and felt a MASSIVE difference.,0,application see feel massive difference,"['application', 'application see', 'application see feel', 'application see feel massive', 'application see feel massive difference', 'see', 'see feel', 'see feel massive', 'see feel massive difference', 'feel', 'feel massive', 'feel massive difference', 'massive', 'massive difference', 'difference']",0,0,1,0.3846153846153846
95903,I have not seen any improvements in my vision and Dr. Tartak doesn't want to continue treating me.,1,see improvement vision dr tartar want continue treat,"['see', 'see improvement', 'see improvement vision', 'see improvement vision dr', 'see improvement vision dr tartar', 'see improvement vision dr tartar want', 'see improvement vision dr tartar want continue', 'see improvement vision dr tartar want continue treat', 'improvement', 'improvement vision', 'improvement vision dr', 'improvement vision dr tartar', 'improvement vision dr tartar want', 'improvement vision dr tartar want continue', 'improvement vision dr tartar want continue treat', 'vision', 'vision dr', 'vision dr tartar', 'vision dr tartar want', 'vision dr tartar want continue', 'vision dr tartar want continue treat', 'dr', 'dr tartar', 'dr tartar want', 'dr tartar want continue', 'dr tartar want continue treat', 'tartar', 'tartar want', 'tartar want continue', 'tartar want continue treat', 'want', 'want continue', 'want continue treat', 'continue', 'continue treat', 'treat']",1,0,1,0.7692307692307694
119977,He always takes excellent care of me - that is why I have been seeing him for my orthopedic issues since 2001!,0,take excellent care see orthopedic issue,"['take', 'take excellent', 'take excellent care', 'take excellent care see', 'take excellent care see orthopedic', 'take excellent care see orthopedic issue', 'excellent', 'excellent care', 'excellent care see', 'excellent care see orthopedic', 'excellent care see orthopedic issue', 'care', 'care see', 'care see orthopedic', 'care see orthopedic issue', 'see', 'see orthopedic', 'see orthopedic issue', 'orthopedic', 'orthopedic issue', 'issue']",0,0,1,0.3846153846153846
99126,For my whole life I have been very nervous about seeing a dentist.I had not been to the dentist for approx. 6 years.,1,life nervous see dentist dentist,"['life', 'life nervous', 'life nervous see', 'life nervous see dentist', 'life nervous see dentist dentist', 'nervous', 'nervous see', 'nervous see dentist', 'nervous see dentist dentist', 'see', 'see dentist', 'see dentist dentist', 'dentist', 'dentist dentist', 'dentist']",0,0,1,0.3846153846153846
82936,I immediately saw an improvement,0,immediately see improvement,"['immediately', 'immediately see', 'immediately see improvement', 'see', 'see improvement', 'improvement']",1,0,1,0.7692307692307694
144757,and the front desk staff AND both medical professionals I have seen could CARE LESS!,1,desk staff medical professional see care,"['desk', 'desk staff', 'desk staff medical', 'desk staff medical professional', 'desk staff medical professional see', 'desk staff medical professional see care', 'staff', 'staff medical', 'staff medical professional', 'staff medical professional see', 'staff medical professional see care', 'medical', 'medical professional', 'medical professional see', 'medical professional see care', 'professional', 'professional see', 'professional see care', 'see', 'see care', 'care']",0,0,1,0.3846153846153846
167983,Everyone who sees me now is dying to have her do their surgeries,0,see die forgery,"['see', 'see die', 'see die forgery', 'die', 'die forgery', 'forgery']",0,0,1,0.3846153846153846
115850,I have been seeing him every 2-3 weeks for the last 4 months and my skin has improved so much!,0,see skin improved,"['see', 'see skin', 'see skin improved', 'skin', 'skin improved', 'improved']",0,0,1,0.3846153846153846
