commentId,comment,classification,comment_processed,word_phrase_list,ultrasound,pleasant,pleasant expect,expect,similarity_score
91410,"Unfortunately, I expect a professional health-care office be able to provide accurate insurance information to patients.",1,unfortunately expect professional healthcare office able provide accurate insurance information patient,"['unfortunately', 'unfortunately expect', 'unfortunately expect professional', 'unfortunately expect professional healthcare', 'unfortunately expect professional healthcare office', 'unfortunately expect professional healthcare office able', 'unfortunately expect professional healthcare office able provide', 'unfortunately expect professional healthcare office able provide accurate', 'unfortunately expect professional healthcare office able provide accurate insurance', 'unfortunately expect professional healthcare office able provide accurate insurance information', 'unfortunately expect professional healthcare office able provide accurate insurance information patient', 'expect', 'expect professional', 'expect professional healthcare', 'expect professional healthcare office', 'expect professional healthcare office able', 'expect professional healthcare office able provide', 'expect professional healthcare office able provide accurate', 'expect professional healthcare office able provide accurate insurance', 'expect professional healthcare office able provide accurate insurance information', 'expect professional healthcare office able provide accurate insurance information patient', 'professional', 'professional healthcare', 'professional healthcare office', 'professional healthcare office able', 'professional healthcare office able provide', 'professional healthcare office able provide accurate', 'professional healthcare office able provide accurate insurance', 'professional healthcare office able provide accurate insurance information', 'professional healthcare office able provide accurate insurance information patient', 'healthcare', 'healthcare office', 'healthcare office able', 'healthcare office able provide', 'healthcare office able provide accurate', 'healthcare office able provide accurate insurance', 'healthcare office able provide accurate insurance information', 'healthcare office able provide accurate insurance information patient', 'office', 'office able', 'office able provide', 'office able provide accurate', 'office able provide accurate insurance', 'office able provide accurate insurance information', 'office able provide accurate insurance information patient', 'able', 'able provide', 'able provide accurate', 'able provide accurate insurance', 'able provide accurate insurance information', 'able provide accurate insurance information patient', 'provide', 'provide accurate', 'provide accurate insurance', 'provide accurate insurance information', 'provide accurate insurance information patient', 'accurate', 'accurate insurance', 'accurate insurance information', 'accurate insurance information patient', 'insurance', 'insurance information', 'insurance information patient', 'information', 'information patient', 'patient']",0,0,0,1,0.027777777777777776
62568,It was very pleasant,0,pleasant,['pleasant'],0,1,0,0,0.2857142857142857
94478,His medical assistant (Chisty) made the experience a pleasant one.,0,medical assistant city experience pleasant,"['medical', 'medical assistant', 'medical assistant city', 'medical assistant city experience', 'medical assistant city experience pleasant', 'assistant', 'assistant city', 'assistant city experience', 'assistant city experience pleasant', 'city', 'city experience', 'city experience pleasant', 'experience', 'experience pleasant', 'pleasant']",0,1,0,0,0.09523809523809523
66728,His pleasant attitude,0,pleasant attitude,"['pleasant', 'pleasant attitude', 'attitude']",0,1,0,0,0.2222222222222222
125403,but also stays realistic with what can be expected.,0,stay realistic expect,"['stay', 'stay realistic', 'stay realistic expect', 'realistic', 'realistic expect', 'expect']",0,0,0,1,0.16666666666666666
128349,"I now feel great-there are days here and there that I have some pain but, that was to be expected and is tolerable.",0,feel greatthere day pain expect tolerable,"['feel', 'feel greatthere', 'feel greatthere day', 'feel greatthere day pain', 'feel greatthere day pain expect', 'feel greatthere day pain expect tolerable', 'greatthere', 'greatthere day', 'greatthere day pain', 'greatthere day pain expect', 'greatthere day pain expect tolerable', 'day', 'day pain', 'day pain expect', 'day pain expect tolerable', 'pain', 'pain expect', 'pain expect tolerable', 'expect', 'expect tolerable', 'tolerable']",0,0,0,1,0.07407407407407407
130446,The staff is always so pleasant in person and by phone.,0,staff pleasant person phone,"['staff', 'staff pleasant', 'staff pleasant person', 'staff pleasant person phone', 'pleasant', 'pleasant person', 'pleasant person phone', 'person', 'person phone', 'phone']",0,1,0,0,0.125
65479,"Pleasant, straight to the point and informative.",0,pleasant straight point information,"['pleasant', 'pleasant straight', 'pleasant straight point', 'pleasant straight point information', 'straight', 'straight point', 'straight point information', 'point', 'point information', 'information']",0,1,0,0,0.125
178441,Post-surgery Dr. Bonasso met with me on a daily basis and again was very informative about what to expect during my recovery.,0,postsurgery meet basis information expect recovery,"['postsurgery', 'postsurgery meet', 'postsurgery meet basis', 'postsurgery meet basis information', 'postsurgery meet basis information expect', 'postsurgery meet basis information expect recovery', 'meet', 'meet basis', 'meet basis information', 'meet basis information expect', 'meet basis information expect recovery', 'basis', 'basis information', 'basis information expect', 'basis information expect recovery', 'information', 'information expect', 'information expect recovery', 'expect', 'expect recovery', 'recovery']",0,0,0,1,0.07407407407407407
147289,"She is not pleasant first of all, I can right away read her (",1,not pleasant right away read,"['not', 'not pleasant', 'not pleasant right', 'not pleasant right away', 'not pleasant right away read', 'pleasant', 'pleasant right', 'pleasant right away', 'pleasant right away read', 'right', 'right away', 'right away read', 'away', 'away read', 'read']",0,1,0,0,0.09523809523809523
