commentId,comment,classification,comment_processed,word_phrase_list,plus,plus team,team,similarity_score
87685,"and together, they form an amazing team!",0,form amaze team,"['form', 'form amaze', 'form amaze team', 'amaze', 'amaze team', 'team']",0,0,1,0.2222222222222222
130566,"Not only are they beautiful, they settled in perfectly , plus they are soft and, well...",0,not beautiful settle perfectly plus soft,"['not', 'not beautiful', 'not beautiful settle', 'not beautiful settle perfectly', 'not beautiful settle perfectly plus', 'not beautiful settle perfectly plus soft', 'beautiful', 'beautiful settle', 'beautiful settle perfectly', 'beautiful settle perfectly plus', 'beautiful settle perfectly plus soft', 'settle', 'settle perfectly', 'settle perfectly plus', 'settle perfectly plus soft', 'perfectly', 'perfectly plus', 'perfectly plus soft', 'plus', 'plus soft', 'soft']",1,0,0,0.08333333333333333
162306,If you're looking to have any type of liposuction/corrective work done go with Dr. Neinstein and his Team!,0,look type liposuctioncorrective work team,"['look', 'look type', 'look type liposuctioncorrective', 'look type liposuctioncorrective work', 'look type liposuctioncorrective work team', 'type', 'type liposuctioncorrective', 'type liposuctioncorrective work', 'type liposuctioncorrective work team', 'liposuctioncorrective', 'liposuctioncorrective work', 'liposuctioncorrective work team', 'work', 'work team', 'team']",0,0,1,0.1111111111111111
164353,The day of the surgery came and Dr. Layliev and his team were so comforting and calmed me down immediately.,0,surgery come team comfort calm immediately,"['surgery', 'surgery come', 'surgery come team', 'surgery come team comfort', 'surgery come team comfort calm', 'surgery come team comfort calm immediately', 'come', 'come team', 'come team comfort', 'come team comfort calm', 'come team comfort calm immediately', 'team', 'team comfort', 'team comfort calm', 'team comfort calm immediately', 'comfort', 'comfort calm', 'comfort calm immediately', 'calm', 'calm immediately', 'immediately']",0,0,1,0.08333333333333333
137243,Trust your eyes to the team as my wife and myself have and SEE for yourself.,0,trust eye team wife,"['trust', 'trust eye', 'trust eye team', 'trust eye team wife', 'eye', 'eye team', 'eye team wife', 'team', 'team wife', 'wife']",0,0,1,0.15384615384615385
171291,The team never seems to be the same and the new team doesn't communicate with the old team.,1,team new team communicate old team,"['team', 'team new', 'team new team', 'team new team communicate', 'team new team communicate old', 'team new team communicate old team', 'new', 'new team', 'new team communicate', 'new team communicate old', 'new team communicate old team', 'team', 'team communicate', 'team communicate old', 'team communicate old team', 'communicate', 'communicate old', 'communicate old team', 'old', 'old team', 'team']",0,0,1,0.08333333333333333
99706,Great team...,0,great team,"['great', 'great team', 'team']",0,0,1,0.3333333333333333
103934,"Instead, Dr. Simon and her team made everything clear, gentle, on time and friendly.",0,instead team clear gentle time friendly,"['instead', 'instead team', 'instead team clear', 'instead team clear gentle', 'instead team clear gentle time', 'instead team clear gentle time friendly', 'team', 'team clear', 'team clear gentle', 'team clear gentle time', 'team clear gentle time friendly', 'clear', 'clear gentle', 'clear gentle time', 'clear gentle time friendly', 'gentle', 'gentle time', 'gentle time friendly', 'time', 'time friendly', 'friendly']",0,0,1,0.08333333333333333
86981,His caring and wonderful bedside manor has been a plus,0,dare fantastic bedside manor plus,"['dare', 'dare fantastic', 'dare fantastic bedside', 'dare fantastic bedside manor', 'dare fantastic bedside manor plus', 'fantastic', 'fantastic bedside', 'fantastic bedside manor', 'fantastic bedside manor plus', 'bedside', 'bedside manor', 'bedside manor plus', 'manor', 'manor plus', 'plus']",1,0,0,0.1111111111111111
158355,"I spent 5 weeks and several hours plus $2900 for a service that gave no results, and",1,spend plus service give no result,"['spend', 'spend plus', 'spend plus service', 'spend plus service give', 'spend plus service give no', 'spend plus service give no result', 'plus', 'plus service', 'plus service give', 'plus service give no', 'plus service give no result', 'service', 'service give', 'service give no', 'service give no result', 'give', 'give no', 'give no result', 'no', 'no result', 'result']",1,0,0,0.08333333333333333
