commentId,comment,classification,comment_processed,word_phrase_list,listen,fear,make,unapproachable,aid,hearer,similarity_score
163175,"No again , the doctor comes in makes a VERY BIG DEAL about your lines and says she needs to come up with a recommendation",1,doctor come make big deal line say need come recommendation,"['doctor', 'doctor come', 'doctor come make', 'doctor come make big', 'doctor come make big deal', 'doctor come make big deal line', 'doctor come make big deal line say', 'doctor come make big deal line say need', 'doctor come make big deal line say need come', 'doctor come make big deal line say need come recommendation', 'come', 'come make', 'come make big', 'come make big deal', 'come make big deal line', 'come make big deal line say', 'come make big deal line say need', 'come make big deal line say need come', 'come make big deal line say need come recommendation', 'make', 'make big', 'make big deal', 'make big deal line', 'make big deal line say', 'make big deal line say need', 'make big deal line say need come', 'make big deal line say need come recommendation', 'big', 'big deal', 'big deal line', 'big deal line say', 'big deal line say need', 'big deal line say need come', 'big deal line say need come recommendation', 'deal', 'deal line', 'deal line say', 'deal line say need', 'deal line say need come', 'deal line say need come recommendation', 'line', 'line say', 'line say need', 'line say need come', 'line say need come recommendation', 'say', 'say need', 'say need come', 'say need come recommendation', 'need', 'need come', 'need come recommendation', 'come', 'come recommendation', 'recommendation']",0,0,1,0,0,0,0.09090909090909091
77234,Dr. Joseph asked about and listened to my concerns and we spoke in detail about what he envisioned.,0,ask listen concern speak detail envision,"['ask', 'ask listen', 'ask listen concern', 'ask listen concern speak', 'ask listen concern speak detail', 'ask listen concern speak detail envision', 'listen', 'listen concern', 'listen concern speak', 'listen concern speak detail', 'listen concern speak detail envision', 'concern', 'concern speak', 'concern speak detail', 'concern speak detail envision', 'speak', 'speak detail', 'speak detail envision', 'detail', 'detail envision', 'envision']",1,0,0,0,0,0,0.09090909090909091
115145,I felt that he used fear to encourage surgery and did not explain the risks.,1,feel fear encourage surgery explain risk,"['feel', 'feel fear', 'feel fear encourage', 'feel fear encourage surgery', 'feel fear encourage surgery explain', 'feel fear encourage surgery explain risk', 'fear', 'fear encourage', 'fear encourage surgery', 'fear encourage surgery explain', 'fear encourage surgery explain risk', 'encourage', 'encourage surgery', 'encourage surgery explain', 'encourage surgery explain risk', 'surgery', 'surgery explain', 'surgery explain risk', 'explain', 'explain risk', 'risk']",0,1,0,0,0,0,0.09090909090909091
60387,He always listens to me and explains everything to me,0,listen explain,"['listen', 'listen explain', 'explain']",1,0,0,0,0,0,0.09090909090909091
143015,His office always makes their best efforts to fit me in for appointments.,0,office make good effort fit appointment,"['office', 'office make', 'office make good', 'office make good effort', 'office make good effort fit', 'office make good effort fit appointment', 'make', 'make good', 'make good effort', 'make good effort fit', 'make good effort fit appointment', 'good', 'good effort', 'good effort fit', 'good effort fit appointment', 'effort', 'effort fit', 'effort fit appointment', 'fit', 'fit appointment', 'appointment']",0,0,1,0,0,0,0.09090909090909091
179200,"for Dateline, and listened to country music (my personal favorite).",0,vaseline listen country music personal favorite,"['vaseline', 'vaseline listen', 'vaseline listen country', 'vaseline listen country music', 'vaseline listen country music personal', 'vaseline listen country music personal favorite', 'listen', 'listen country', 'listen country music', 'listen country music personal', 'listen country music personal favorite', 'country', 'country music', 'country music personal', 'country music personal favorite', 'music', 'music personal', 'music personal favorite', 'personal', 'personal favorite', 'favorite']",1,0,0,0,0,0,0.09090909090909091
99858,She cares genuinely about my skin/quality of life and I always feel like she makes the best recommendations,0,care genuinely skinquality life feel like make good recommendation,"['care', 'care genuinely', 'care genuinely skinquality', 'care genuinely skinquality life', 'care genuinely skinquality life feel', 'care genuinely skinquality life feel like', 'care genuinely skinquality life feel like make', 'care genuinely skinquality life feel like make good', 'care genuinely skinquality life feel like make good recommendation', 'genuinely', 'genuinely skinquality', 'genuinely skinquality life', 'genuinely skinquality life feel', 'genuinely skinquality life feel like', 'genuinely skinquality life feel like make', 'genuinely skinquality life feel like make good', 'genuinely skinquality life feel like make good recommendation', 'skinquality', 'skinquality life', 'skinquality life feel', 'skinquality life feel like', 'skinquality life feel like make', 'skinquality life feel like make good', 'skinquality life feel like make good recommendation', 'life', 'life feel', 'life feel like', 'life feel like make', 'life feel like make good', 'life feel like make good recommendation', 'feel', 'feel like', 'feel like make', 'feel like make good', 'feel like make good recommendation', 'like', 'like make', 'like make good', 'like make good recommendation', 'make', 'make good', 'make good recommendation', 'good', 'good recommendation', 'recommendation']",0,0,1,0,0,0,0.09090909090909091
147840,"This man has a problem with listening to what the patient wants, if you try to say something he rudely",1,man problem listen patient want try impolitely,"['man', 'man problem', 'man problem listen', 'man problem listen patient', 'man problem listen patient want', 'man problem listen patient want try', 'man problem listen patient want try impolitely', 'problem', 'problem listen', 'problem listen patient', 'problem listen patient want', 'problem listen patient want try', 'problem listen patient want try impolitely', 'listen', 'listen patient', 'listen patient want', 'listen patient want try', 'listen patient want try impolitely', 'patient', 'patient want', 'patient want try', 'patient want try impolitely', 'want', 'want try', 'want try impolitely', 'try', 'try impolitely', 'impolitely']",1,0,0,0,0,0,0.09090909090909091
63446,"She listens carefully, is interested and is genuinely concerned.",0,listen carefully interest genuinely concerned,"['listen', 'listen carefully', 'listen carefully interest', 'listen carefully interest genuinely', 'listen carefully interest genuinely concerned', 'carefully', 'carefully interest', 'carefully interest genuinely', 'carefully interest genuinely concerned', 'interest', 'interest genuinely', 'interest genuinely concerned', 'genuinely', 'genuinely concerned', 'concerned']",1,0,0,0,0,0,0.09090909090909091
90709,I have to admit that I was really nervous but Dr. Segal makes everything seem,0,admit nervous dr legal make,"['admit', 'admit nervous', 'admit nervous dr', 'admit nervous dr legal', 'admit nervous dr legal make', 'nervous', 'nervous dr', 'nervous dr legal', 'nervous dr legal make', 'dr', 'dr legal', 'dr legal make', 'legal', 'legal make', 'make']",0,0,1,0,0,0,0.09090909090909091
184612,Dorian couldn't be better with assistance in explaining insurance coverage and coordinating follow up.,0,doran good aid explain insurance coverage coordinate follow,"['doran', 'doran good', 'doran good aid', 'doran good aid explain', 'doran good aid explain insurance', 'doran good aid explain insurance coverage', 'doran good aid explain insurance coverage coordinate', 'doran good aid explain insurance coverage coordinate follow', 'good', 'good aid', 'good aid explain', 'good aid explain insurance', 'good aid explain insurance coverage', 'good aid explain insurance coverage coordinate', 'good aid explain insurance coverage coordinate follow', 'aid', 'aid explain', 'aid explain insurance', 'aid explain insurance coverage', 'aid explain insurance coverage coordinate', 'aid explain insurance coverage coordinate follow', 'explain', 'explain insurance', 'explain insurance coverage', 'explain insurance coverage coordinate', 'explain insurance coverage coordinate follow', 'insurance', 'insurance coverage', 'insurance coverage coordinate', 'insurance coverage coordinate follow', 'coverage', 'coverage coordinate', 'coverage coordinate follow', 'coordinate', 'coordinate follow', 'follow']",0,0,0,0,1,0,0.09090909090909091
90424,"he listened, informed, showed me the MRI, explain the risks",0,listen inform show mister explain risk,"['listen', 'listen inform', 'listen inform show', 'listen inform show mister', 'listen inform show mister explain', 'listen inform show mister explain risk', 'inform', 'inform show', 'inform show mister', 'inform show mister explain', 'inform show mister explain risk', 'show', 'show mister', 'show mister explain', 'show mister explain risk', 'mister', 'mister explain', 'mister explain risk', 'explain', 'explain risk', 'risk']",1,0,0,0,0,0,0.09090909090909091
60889,He listened attentively,0,listen attentively,"['listen', 'listen attentively', 'attentively']",1,0,0,0,0,0,0.09090909090909091
153611,"Then he makes 15 small incisions, I couldn't feel this at all.",0,make small incision feel,"['make', 'make small', 'make small incision', 'make small incision feel', 'small', 'small incision', 'small incision feel', 'incision', 'incision feel', 'feel']",0,0,1,0,0,0,0.09090909090909091
123340,"Honestly, your whole story makes little sense.",1,honestly story make little sense,"['honestly', 'honestly story', 'honestly story make', 'honestly story make little', 'honestly story make little sense', 'story', 'story make', 'story make little', 'story make little sense', 'make', 'make little', 'make little sense', 'little', 'little sense', 'sense']",0,0,1,0,0,0,0.09090909090909091
116279,Because he listened we were able to catch my daughters growth restriction as well as her going into stress durring labor.,0,listen able catch daughter growth restriction go stress labor,"['listen', 'listen able', 'listen able catch', 'listen able catch daughter', 'listen able catch daughter growth', 'listen able catch daughter growth restriction', 'listen able catch daughter growth restriction go', 'listen able catch daughter growth restriction go stress', 'listen able catch daughter growth restriction go stress labor', 'able', 'able catch', 'able catch daughter', 'able catch daughter growth', 'able catch daughter growth restriction', 'able catch daughter growth restriction go', 'able catch daughter growth restriction go stress', 'able catch daughter growth restriction go stress labor', 'catch', 'catch daughter', 'catch daughter growth', 'catch daughter growth restriction', 'catch daughter growth restriction go', 'catch daughter growth restriction go stress', 'catch daughter growth restriction go stress labor', 'daughter', 'daughter growth', 'daughter growth restriction', 'daughter growth restriction go', 'daughter growth restriction go stress', 'daughter growth restriction go stress labor', 'growth', 'growth restriction', 'growth restriction go', 'growth restriction go stress', 'growth restriction go stress labor', 'restriction', 'restriction go', 'restriction go stress', 'restriction go stress labor', 'go', 'go stress', 'go stress labor', 'stress', 'stress labor', 'labor']",1,0,0,0,0,0,0.09090909090909091
71933,"Kambiz Behzadi, M.D. Listened to us and helped.",0,behzadi md listen help,"['behzadi', 'behzadi md', 'behzadi md listen', 'behzadi md listen help', 'md', 'md listen', 'md listen help', 'listen', 'listen help', 'help']",1,0,0,0,0,0,0.09090909090909091
57696,The only thing would be is I would've had assistance getting a wheelchair.,1,thing ve aid get wheelchair,"['thing', 'thing ve', 'thing ve aid', 'thing ve aid get', 'thing ve aid get wheelchair', 've', 've aid', 've aid get', 've aid get wheelchair', 'aid', 'aid get', 'aid get wheelchair', 'get', 'get wheelchair', 'wheelchair']",0,0,0,0,1,0,0.09090909090909091
