commentId,comment,classification,comment_processed,word_phrase_list,impress,impress gynecologist,gynecologist,similarity_score
152108,From the first appointment I was impressed with her and her work.,0,appointment impress work,"['appointment', 'appointment impress', 'appointment impress work', 'impress', 'impress work', 'work']",1,0,0,0.2222222222222222
68095,I am an afficionado of surgeons having had extensive work with a number of highly regarded leaders in their field and am most impressed by Dr Haworth.,0,afficionado surgeon have extensive work number highly regard leader field impress,"['afficionado', 'afficionado surgeon', 'afficionado surgeon have', 'afficionado surgeon have extensive', 'afficionado surgeon have extensive work', 'afficionado surgeon have extensive work number', 'afficionado surgeon have extensive work number highly', 'afficionado surgeon have extensive work number highly regard', 'afficionado surgeon have extensive work number highly regard leader', 'afficionado surgeon have extensive work number highly regard leader field', 'afficionado surgeon have extensive work number highly regard leader field impress', 'surgeon', 'surgeon have', 'surgeon have extensive', 'surgeon have extensive work', 'surgeon have extensive work number', 'surgeon have extensive work number highly', 'surgeon have extensive work number highly regard', 'surgeon have extensive work number highly regard leader', 'surgeon have extensive work number highly regard leader field', 'surgeon have extensive work number highly regard leader field impress', 'have', 'have extensive', 'have extensive work', 'have extensive work number', 'have extensive work number highly', 'have extensive work number highly regard', 'have extensive work number highly regard leader', 'have extensive work number highly regard leader field', 'have extensive work number highly regard leader field impress', 'extensive', 'extensive work', 'extensive work number', 'extensive work number highly', 'extensive work number highly regard', 'extensive work number highly regard leader', 'extensive work number highly regard leader field', 'extensive work number highly regard leader field impress', 'work', 'work number', 'work number highly', 'work number highly regard', 'work number highly regard leader', 'work number highly regard leader field', 'work number highly regard leader field impress', 'number', 'number highly', 'number highly regard', 'number highly regard leader', 'number highly regard leader field', 'number highly regard leader field impress', 'highly', 'highly regard', 'highly regard leader', 'highly regard leader field', 'highly regard leader field impress', 'regard', 'regard leader', 'regard leader field', 'regard leader field impress', 'leader', 'leader field', 'leader field impress', 'field', 'field impress', 'impress']",1,0,0,0.028985507246376812
113910,"I am so impressed with the JPlasma, I have no lose skin and no irregularities.",0,impress plasma no lose skin no irregularity,"['impress', 'impress plasma', 'impress plasma no', 'impress plasma no lose', 'impress plasma no lose skin', 'impress plasma no lose skin no', 'impress plasma no lose skin no irregularity', 'plasma', 'plasma no', 'plasma no lose', 'plasma no lose skin', 'plasma no lose skin no', 'plasma no lose skin no irregularity', 'no', 'no lose', 'no lose skin', 'no lose skin no', 'no lose skin no irregularity', 'lose', 'lose skin', 'lose skin no', 'lose skin no irregularity', 'skin', 'skin no', 'skin no irregularity', 'no', 'no irregularity', 'irregularity']",1,0,0,0.06451612903225806
98078,I was equally impressed when I called his office and.,0,equally impress call office,"['equally', 'equally impress', 'equally impress call', 'equally impress call office', 'impress', 'impress call', 'impress call office', 'call', 'call office', 'office']",1,0,0,0.15384615384615385
127612,Not real impressed.,1,not real impress,"['not', 'not real', 'not real impress', 'real', 'real impress', 'impress']",1,0,0,0.2222222222222222
187230,and I was instantly impressed with how much time and how indepth my over the phone consultation with Ashley was.,0,instantly impress time depth phone consultation ash,"['instantly', 'instantly impress', 'instantly impress time', 'instantly impress time depth', 'instantly impress time depth phone', 'instantly impress time depth phone consultation', 'instantly impress time depth phone consultation ash', 'impress', 'impress time', 'impress time depth', 'impress time depth phone', 'impress time depth phone consultation', 'impress time depth phone consultation ash', 'time', 'time depth', 'time depth phone', 'time depth phone consultation', 'time depth phone consultation ash', 'depth', 'depth phone', 'depth phone consultation', 'depth phone consultation ash', 'phone', 'phone consultation', 'phone consultation ash', 'consultation', 'consultation ash', 'ash']",1,0,0,0.06451612903225806
104812,I've also had the joy of seeing both the nurse practitioner's Mrs Michelle and Mrs Paula who have also impressed me.,0,joy see nurse practitioner impress,"['joy', 'joy see', 'joy see nurse', 'joy see nurse practitioner', 'joy see nurse practitioner impress', 'see', 'see nurse', 'see nurse practitioner', 'see nurse practitioner impress', 'nurse', 'nurse practitioner', 'nurse practitioner impress', 'practitioner', 'practitioner impress', 'impress']",1,0,0,0.1111111111111111
152467,Not impressed with services.,1,not impress service,"['not', 'not impress', 'not impress service', 'impress', 'impress service', 'service']",1,0,0,0.2222222222222222
141823,"If you?re looking for a gynecologist who cares, then you should reach out to Dr. Jason.",0,look gynecologist care reach,"['look', 'look gynecologist', 'look gynecologist care', 'look gynecologist care reach', 'gynecologist', 'gynecologist care', 'gynecologist care reach', 'care', 'care reach', 'reach']",0,0,1,0.15384615384615385
84849,I was not impressed with the bedside manner.,1,not impress bedside manner,"['not', 'not impress', 'not impress bedside', 'not impress bedside manner', 'impress', 'impress bedside', 'impress bedside manner', 'bedside', 'bedside manner', 'manner']",1,0,0,0.15384615384615385
