commentId,comment,classification,comment_processed,word_phrase_list,employee,employee show,show,confidence,concern,concern inform,inform,detail,similarity_score
88567,but I felt that my concerns were brushed aside when I went in about the collapse.,1,feel concern brush aside go collapse,"['feel', 'feel concern', 'feel concern brush', 'feel concern brush aside', 'feel concern brush aside go', 'feel concern brush aside go collapse', 'concern', 'concern brush', 'concern brush aside', 'concern brush aside go', 'concern brush aside go collapse', 'brush', 'brush aside', 'brush aside go', 'brush aside go collapse', 'aside', 'aside go', 'aside go collapse', 'go', 'go collapse', 'collapse']",0,0,0,0,1,0,0,0,0.047619047619047616
95129,Very thoughtful of patients concerns.,0,thoughtful patient concern,"['thoughtful', 'thoughtful patient', 'thoughtful patient concern', 'patient', 'patient concern', 'concern']",0,0,0,0,1,0,0,0,0.07407407407407407
91472,The sign of my vote of confidence is that my family of 6 are all patients.,0,sign vote confidence family patient,"['sign', 'sign vote', 'sign vote confidence', 'sign vote confidence family', 'sign vote confidence family patient', 'vote', 'vote confidence', 'vote confidence family', 'vote confidence family patient', 'confidence', 'confidence family', 'confidence family patient', 'family', 'family patient', 'patient']",0,0,0,1,0,0,0,0,0.05555555555555555
162569,One of the employees always acknowledges you as soon as you enter.,0,employee acknowledge soon enter,"['employee', 'employee acknowledge', 'employee acknowledge soon', 'employee acknowledge soon enter', 'acknowledge', 'acknowledge soon', 'acknowledge soon enter', 'soon', 'soon enter', 'enter']",1,0,0,0,0,0,0,0,0.06451612903225806
93740,The most devastating part of the experience was his nasty attitude toward me and my very valid concerns regarding an obvious need,1,devastating experience nasty attitude valid concern obvious need,"['devastating', 'devastating experience', 'devastating experience nasty', 'devastating experience nasty attitude', 'devastating experience nasty attitude valid', 'devastating experience nasty attitude valid concern', 'devastating experience nasty attitude valid concern obvious', 'devastating experience nasty attitude valid concern obvious need', 'experience', 'experience nasty', 'experience nasty attitude', 'experience nasty attitude valid', 'experience nasty attitude valid concern', 'experience nasty attitude valid concern obvious', 'experience nasty attitude valid concern obvious need', 'nasty', 'nasty attitude', 'nasty attitude valid', 'nasty attitude valid concern', 'nasty attitude valid concern obvious', 'nasty attitude valid concern obvious need', 'attitude', 'attitude valid', 'attitude valid concern', 'attitude valid concern obvious', 'attitude valid concern obvious need', 'valid', 'valid concern', 'valid concern obvious', 'valid concern obvious need', 'concern', 'concern obvious', 'concern obvious need', 'obvious', 'obvious need', 'need']",0,0,0,0,1,0,0,0,0.03508771929824561
164352,"They shuffle back and forth, congregate while you wait without acknowledgement and pay little if any attention to details.",1,scuffle forth congregate wait acknowledgment pay little attention detail,"['scuffle', 'scuffle forth', 'scuffle forth congregate', 'scuffle forth congregate wait', 'scuffle forth congregate wait acknowledgment', 'scuffle forth congregate wait acknowledgment pay', 'scuffle forth congregate wait acknowledgment pay little', 'scuffle forth congregate wait acknowledgment pay little attention', 'scuffle forth congregate wait acknowledgment pay little attention detail', 'forth', 'forth congregate', 'forth congregate wait', 'forth congregate wait acknowledgment', 'forth congregate wait acknowledgment pay', 'forth congregate wait acknowledgment pay little', 'forth congregate wait acknowledgment pay little attention', 'forth congregate wait acknowledgment pay little attention detail', 'congregate', 'congregate wait', 'congregate wait acknowledgment', 'congregate wait acknowledgment pay', 'congregate wait acknowledgment pay little', 'congregate wait acknowledgment pay little attention', 'congregate wait acknowledgment pay little attention detail', 'wait', 'wait acknowledgment', 'wait acknowledgment pay', 'wait acknowledgment pay little', 'wait acknowledgment pay little attention', 'wait acknowledgment pay little attention detail', 'acknowledgment', 'acknowledgment pay', 'acknowledgment pay little', 'acknowledgment pay little attention', 'acknowledgment pay little attention detail', 'pay', 'pay little', 'pay little attention', 'pay little attention detail', 'little', 'little attention', 'little attention detail', 'attention', 'attention detail', 'detail']",0,0,0,0,0,0,0,1,0.030303030303030304
77234,Dr. Joseph asked about and listened to my concerns and we spoke in detail about what he envisioned.,0,ask listen concern speak detail envision,"['ask', 'ask listen', 'ask listen concern', 'ask listen concern speak', 'ask listen concern speak detail', 'ask listen concern speak detail envision', 'listen', 'listen concern', 'listen concern speak', 'listen concern speak detail', 'listen concern speak detail envision', 'concern', 'concern speak', 'concern speak detail', 'concern speak detail envision', 'speak', 'speak detail', 'speak detail envision', 'detail', 'detail envision', 'envision']",0,0,0,0,1,0,0,1,0.09523809523809523
179704,"but then Val showed up and suddenly, all was good!",0,val show suddenly good,"['val', 'val show', 'val show suddenly', 'val show suddenly good', 'show', 'show suddenly', 'show suddenly good', 'suddenly', 'suddenly good', 'good']",0,0,1,0,0,0,0,0,0.06451612903225806
140801,"His entire staff and office reflect a welcoming culture of medical excellence, patient comfort, and genuine concern.",0,entire staff office reflect welcome culture medical excellence patient comfort genuine concern,"['entire', 'entire staff', 'entire staff office', 'entire staff office reflect', 'entire staff office reflect welcome', 'entire staff office reflect welcome culture', 'entire staff office reflect welcome culture medical', 'entire staff office reflect welcome culture medical excellence', 'entire staff office reflect welcome culture medical excellence patient', 'entire staff office reflect welcome culture medical excellence patient comfort', 'entire staff office reflect welcome culture medical excellence patient comfort genuine', 'entire staff office reflect welcome culture medical excellence patient comfort genuine concern', 'staff', 'staff office', 'staff office reflect', 'staff office reflect welcome', 'staff office reflect welcome culture', 'staff office reflect welcome culture medical', 'staff office reflect welcome culture medical excellence', 'staff office reflect welcome culture medical excellence patient', 'staff office reflect welcome culture medical excellence patient comfort', 'staff office reflect welcome culture medical excellence patient comfort genuine', 'staff office reflect welcome culture medical excellence patient comfort genuine concern', 'office', 'office reflect', 'office reflect welcome', 'office reflect welcome culture', 'office reflect welcome culture medical', 'office reflect welcome culture medical excellence', 'office reflect welcome culture medical excellence patient', 'office reflect welcome culture medical excellence patient comfort', 'office reflect welcome culture medical excellence patient comfort genuine', 'office reflect welcome culture medical excellence patient comfort genuine concern', 'reflect', 'reflect welcome', 'reflect welcome culture', 'reflect welcome culture medical', 'reflect welcome culture medical excellence', 'reflect welcome culture medical excellence patient', 'reflect welcome culture medical excellence patient comfort', 'reflect welcome culture medical excellence patient comfort genuine', 'reflect welcome culture medical excellence patient comfort genuine concern', 'welcome', 'welcome culture', 'welcome culture medical', 'welcome culture medical excellence', 'welcome culture medical excellence patient', 'welcome culture medical excellence patient comfort', 'welcome culture medical excellence patient comfort genuine', 'welcome culture medical excellence patient comfort genuine concern', 'culture', 'culture medical', 'culture medical excellence', 'culture medical excellence patient', 'culture medical excellence patient comfort', 'culture medical excellence patient comfort genuine', 'culture medical excellence patient comfort genuine concern', 'medical', 'medical excellence', 'medical excellence patient', 'medical excellence patient comfort', 'medical excellence patient comfort genuine', 'medical excellence patient comfort genuine concern', 'excellence', 'excellence patient', 'excellence patient comfort', 'excellence patient comfort genuine', 'excellence patient comfort genuine concern', 'patient', 'patient comfort', 'patient comfort genuine', 'patient comfort genuine concern', 'comfort', 'comfort genuine', 'comfort genuine concern', 'genuine', 'genuine concern', 'concern']",0,0,0,0,1,0,0,0,0.020202020202020204
187011,I feel like my concerns were addressed and I feel at ease and excited now to book an appointment for surgery with them.,0,feel like concern address feel ease excite book appointment surgery,"['feel', 'feel like', 'feel like concern', 'feel like concern address', 'feel like concern address feel', 'feel like concern address feel ease', 'feel like concern address feel ease excite', 'feel like concern address feel ease excite book', 'feel like concern address feel ease excite book appointment', 'feel like concern address feel ease excite book appointment surgery', 'like', 'like concern', 'like concern address', 'like concern address feel', 'like concern address feel ease', 'like concern address feel ease excite', 'like concern address feel ease excite book', 'like concern address feel ease excite book appointment', 'like concern address feel ease excite book appointment surgery', 'concern', 'concern address', 'concern address feel', 'concern address feel ease', 'concern address feel ease excite', 'concern address feel ease excite book', 'concern address feel ease excite book appointment', 'concern address feel ease excite book appointment surgery', 'address', 'address feel', 'address feel ease', 'address feel ease excite', 'address feel ease excite book', 'address feel ease excite book appointment', 'address feel ease excite book appointment surgery', 'feel', 'feel ease', 'feel ease excite', 'feel ease excite book', 'feel ease excite book appointment', 'feel ease excite book appointment surgery', 'ease', 'ease excite', 'ease excite book', 'ease excite book appointment', 'ease excite book appointment surgery', 'excite', 'excite book', 'excite book appointment', 'excite book appointment surgery', 'book', 'book appointment', 'book appointment surgery', 'appointment', 'appointment surgery', 'surgery']",0,0,0,0,1,0,0,0,0.02631578947368421
108362,Once this doctor is paid he shows his true colors.,1,pay show true color,"['pay', 'pay show', 'pay show true', 'pay show true color', 'show', 'show true', 'show true color', 'true', 'true color', 'color']",0,0,1,0,0,0,0,0,0.06451612903225806
182121,"He had some medical concerns about my condition, which he thought was more than one condition, and his concerns were correct!",0,medical concern condition think condition concern correct,"['medical', 'medical concern', 'medical concern condition', 'medical concern condition think', 'medical concern condition think condition', 'medical concern condition think condition concern', 'medical concern condition think condition concern correct', 'concern', 'concern condition', 'concern condition think', 'concern condition think condition', 'concern condition think condition concern', 'concern condition think condition concern correct', 'condition', 'condition think', 'condition think condition', 'condition think condition concern', 'condition think condition concern correct', 'think', 'think condition', 'think condition concern', 'think condition concern correct', 'condition', 'condition concern', 'condition concern correct', 'concern', 'concern correct', 'correct']",0,0,0,0,1,0,0,0,0.04081632653061224
82613,Staff consists of one very cranky lady with no concern,1,staff consist crank lady no concern,"['staff', 'staff consist', 'staff consist crank', 'staff consist crank lady', 'staff consist crank lady no', 'staff consist crank lady no concern', 'consist', 'consist crank', 'consist crank lady', 'consist crank lady no', 'consist crank lady no concern', 'crank', 'crank lady', 'crank lady no', 'crank lady no concern', 'lady', 'lady no', 'lady no concern', 'no', 'no concern', 'concern']",0,0,0,0,1,0,0,0,0.047619047619047616
