commentId,comment,classification,comment_processed,word_phrase_list,comfortable,past,past doctor,doctor,doctor miss,miss,shy,speak,similarity_score
147238,My nse is still messed up but now in a different way.,1,use miss different way,"['use', 'use miss', 'use miss different', 'use miss different way', 'miss', 'miss different', 'miss different way', 'different', 'different way', 'way']",0,0,0,0,0,1,0,0,0.06451612903225806
77234,Dr. Joseph asked about and listened to my concerns and we spoke in detail about what he envisioned.,0,ask listen concern speak detail envision,"['ask', 'ask listen', 'ask listen concern', 'ask listen concern speak', 'ask listen concern speak detail', 'ask listen concern speak detail envision', 'listen', 'listen concern', 'listen concern speak', 'listen concern speak detail', 'listen concern speak detail envision', 'concern', 'concern speak', 'concern speak detail', 'concern speak detail envision', 'speak', 'speak detail', 'speak detail envision', 'detail', 'detail envision', 'envision']",0,0,0,0,0,0,0,1,0.047619047619047616
152538,This was by far the worst doctors visit I have experienced in 40 years.,1,far bad doctor visit experience,"['far', 'far bad', 'far bad doctor', 'far bad doctor visit', 'far bad doctor visit experience', 'bad', 'bad doctor', 'bad doctor visit', 'bad doctor visit experience', 'doctor', 'doctor visit', 'doctor visit experience', 'visit', 'visit experience', 'experience']",0,0,0,1,0,0,0,0,0.05555555555555555
189215,"As for the doctor's approach, it was nothing short of rushed and impersonal.",1,doctor approach short rush impersonal,"['doctor', 'doctor approach', 'doctor approach short', 'doctor approach short rush', 'doctor approach short rush impersonal', 'approach', 'approach short', 'approach short rush', 'approach short rush impersonal', 'short', 'short rush', 'short rush impersonal', 'rush', 'rush impersonal', 'impersonal']",0,0,0,1,0,0,0,0,0.05555555555555555
188791,I really wish I would have got more opinions from more doctors before choosing this one.,1,wish get opinion doctor choose,"['wish', 'wish get', 'wish get opinion', 'wish get opinion doctor', 'wish get opinion doctor choose', 'get', 'get opinion', 'get opinion doctor', 'get opinion doctor choose', 'opinion', 'opinion doctor', 'opinion doctor choose', 'doctor', 'doctor choose', 'choose']",0,0,0,1,0,0,0,0,0.05555555555555555
85594,and were always being sure I was comfortable throughout the process.,0,sure comfortable process,"['sure', 'sure comfortable', 'sure comfortable process', 'comfortable', 'comfortable process', 'process']",1,0,0,0,0,0,0,0,0.07407407407407407
114305,speaking with an actual psychiatrist is just on a better level then speaking to a PA-C.,1,speak actual psychiatric good level speak pay,"['speak', 'speak actual', 'speak actual psychiatric', 'speak actual psychiatric good', 'speak actual psychiatric good level', 'speak actual psychiatric good level speak', 'speak actual psychiatric good level speak pay', 'actual', 'actual psychiatric', 'actual psychiatric good', 'actual psychiatric good level', 'actual psychiatric good level speak', 'actual psychiatric good level speak pay', 'psychiatric', 'psychiatric good', 'psychiatric good level', 'psychiatric good level speak', 'psychiatric good level speak pay', 'good', 'good level', 'good level speak', 'good level speak pay', 'level', 'level speak', 'level speak pay', 'speak', 'speak pay', 'pay']",0,0,0,0,0,0,0,1,0.04081632653061224
128877,He did not even wait until I was sitting upright to speak to me again or say goodbye.,1,not wait sit upright speak adieu,"['not', 'not wait', 'not wait sit', 'not wait sit upright', 'not wait sit upright speak', 'not wait sit upright speak adieu', 'wait', 'wait sit', 'wait sit upright', 'wait sit upright speak', 'wait sit upright speak adieu', 'sit', 'sit upright', 'sit upright speak', 'sit upright speak adieu', 'upright', 'upright speak', 'upright speak adieu', 'speak', 'speak adieu', 'adieu']",0,0,0,0,0,0,0,1,0.047619047619047616
60304,He spoke in English and not in medical terms,0,speak not medical term,"['speak', 'speak not', 'speak not medical', 'speak not medical term', 'not', 'not medical', 'not medical term', 'medical', 'medical term', 'term']",0,0,0,0,0,0,0,1,0.06451612903225806
138952,"So my dad is still dizzy, $6000 poorer and feels betrayed and lied to by both doctors at EBI.",1,dad dizzy poor feel betray lie doctor eysenck personality inventory,"['dad', 'dad dizzy', 'dad dizzy poor', 'dad dizzy poor feel', 'dad dizzy poor feel betray', 'dad dizzy poor feel betray lie', 'dad dizzy poor feel betray lie doctor', 'dad dizzy poor feel betray lie doctor eysenck', 'dad dizzy poor feel betray lie doctor eysenck personality', 'dad dizzy poor feel betray lie doctor eysenck personality inventory', 'dizzy', 'dizzy poor', 'dizzy poor feel', 'dizzy poor feel betray', 'dizzy poor feel betray lie', 'dizzy poor feel betray lie doctor', 'dizzy poor feel betray lie doctor eysenck', 'dizzy poor feel betray lie doctor eysenck personality', 'dizzy poor feel betray lie doctor eysenck personality inventory', 'poor', 'poor feel', 'poor feel betray', 'poor feel betray lie', 'poor feel betray lie doctor', 'poor feel betray lie doctor eysenck', 'poor feel betray lie doctor eysenck personality', 'poor feel betray lie doctor eysenck personality inventory', 'feel', 'feel betray', 'feel betray lie', 'feel betray lie doctor', 'feel betray lie doctor eysenck', 'feel betray lie doctor eysenck personality', 'feel betray lie doctor eysenck personality inventory', 'betray', 'betray lie', 'betray lie doctor', 'betray lie doctor eysenck', 'betray lie doctor eysenck personality', 'betray lie doctor eysenck personality inventory', 'lie', 'lie doctor', 'lie doctor eysenck', 'lie doctor eysenck personality', 'lie doctor eysenck personality inventory', 'doctor', 'doctor eysenck', 'doctor eysenck personality', 'doctor eysenck personality inventory', 'eysenck', 'eysenck personality', 'eysenck personality inventory', 'personality', 'personality inventory', 'inventory']",0,0,0,1,0,0,0,0,0.02631578947368421
