commentId,comment,classification,comment_processed,word_phrase_list,bridge,take,take low,low,similarity_score
82695,"Thanks Dr. Bregman and staff at Foot, Ankle and lower leg center",0,thanks staff foot ankle low leg center,"['thanks', 'thanks staff', 'thanks staff foot', 'thanks staff foot ankle', 'thanks staff foot ankle low', 'thanks staff foot ankle low leg', 'thanks staff foot ankle low leg center', 'staff', 'staff foot', 'staff foot ankle', 'staff foot ankle low', 'staff foot ankle low leg', 'staff foot ankle low leg center', 'foot', 'foot ankle', 'foot ankle low', 'foot ankle low leg', 'foot ankle low leg center', 'ankle', 'ankle low', 'ankle low leg', 'ankle low leg center', 'low', 'low leg', 'low leg center', 'leg', 'leg center', 'center']",0,0,0,1,0.058823529411764705
154636,Literally took my headache away...,0,literally take headache away,"['literally', 'literally take', 'literally take headache', 'literally take headache away', 'take', 'take headache', 'take headache away', 'headache', 'headache away', 'away']",0,1,0,0,0.125
152930,I would NOT trust him to operate on me when my pain is in my NECK and he cuts on my lower lumbar!!,1,not trust operate pain neck cut low lumbar,"['not', 'not trust', 'not trust operate', 'not trust operate pain', 'not trust operate pain neck', 'not trust operate pain neck cut', 'not trust operate pain neck cut low', 'not trust operate pain neck cut low lumbar', 'trust', 'trust operate', 'trust operate pain', 'trust operate pain neck', 'trust operate pain neck cut', 'trust operate pain neck cut low', 'trust operate pain neck cut low lumbar', 'operate', 'operate pain', 'operate pain neck', 'operate pain neck cut', 'operate pain neck cut low', 'operate pain neck cut low lumbar', 'pain', 'pain neck', 'pain neck cut', 'pain neck cut low', 'pain neck cut low lumbar', 'neck', 'neck cut', 'neck cut low', 'neck cut low lumbar', 'cut', 'cut low', 'cut low lumbar', 'low', 'low lumbar', 'lumbar']",0,0,0,1,0.047619047619047616
119977,He always takes excellent care of me - that is why I have been seeing him for my orthopedic issues since 2001!,0,take excellent care see orthopedic issue,"['take', 'take excellent', 'take excellent care', 'take excellent care see', 'take excellent care see orthopedic', 'take excellent care see orthopedic issue', 'excellent', 'excellent care', 'excellent care see', 'excellent care see orthopedic', 'excellent care see orthopedic issue', 'care', 'care see', 'care see orthopedic', 'care see orthopedic issue', 'see', 'see orthopedic', 'see orthopedic issue', 'orthopedic', 'orthopedic issue', 'issue']",0,1,0,0,0.07407407407407407
70511,He took off almost half my face and I look great.,0,take face look great,"['take', 'take face', 'take face look', 'take face look great', 'face', 'face look', 'face look great', 'look', 'look great', 'great']",0,1,0,0,0.125
93732,Debbie the OR nurse took care of me as if I was her own daughter.,0,debate nurse take care daughter,"['debate', 'debate nurse', 'debate nurse take', 'debate nurse take care', 'debate nurse take care daughter', 'nurse', 'nurse take', 'nurse take care', 'nurse take care daughter', 'take', 'take care', 'take care daughter', 'care', 'care daughter', 'daughter']",0,1,0,0,0.09523809523809523
163053,She took one look and said it looked like an infection.,0,take look say look like infection,"['take', 'take look', 'take look say', 'take look say look', 'take look say look like', 'take look say look like infection', 'look', 'look say', 'look say look', 'look say look like', 'look say look like infection', 'say', 'say look', 'say look like', 'say look like infection', 'look', 'look like', 'look like infection', 'like', 'like infection', 'infection']",0,1,0,0,0.07407407407407407
112552,Doctor Meyerson took care of my problem and explained everything to me in tense I could understand.,0,take care problem explain tense understand,"['take', 'take care', 'take care problem', 'take care problem explain', 'take care problem explain tense', 'take care problem explain tense understand', 'care', 'care problem', 'care problem explain', 'care problem explain tense', 'care problem explain tense understand', 'problem', 'problem explain', 'problem explain tense', 'problem explain tense understand', 'explain', 'explain tense', 'explain tense understand', 'tense', 'tense understand', 'understand']",0,1,0,0,0.07407407407407407
69532,Took time and I did not feel rushed.,0,take time not feel rush,"['take', 'take time', 'take time not', 'take time not feel', 'take time not feel rush', 'time', 'time not', 'time not feel', 'time not feel rush', 'not', 'not feel', 'not feel rush', 'feel', 'feel rush', 'rush']",0,1,0,0,0.09523809523809523
89192,But I am very glad that I ended up taking the chance to go through with this surgery because it made me feel,0,glad end take chance surgery feel,"['glad', 'glad end', 'glad end take', 'glad end take chance', 'glad end take chance surgery', 'glad end take chance surgery feel', 'end', 'end take', 'end take chance', 'end take chance surgery', 'end take chance surgery feel', 'take', 'take chance', 'take chance surgery', 'take chance surgery feel', 'chance', 'chance surgery', 'chance surgery feel', 'surgery', 'surgery feel', 'feel']",0,1,0,0,0.07407407407407407
