commentId,comment,classification,comment_processed,word_phrase_list,help,help understand,help understand option,understand,understand option,option,option risk,risk,risk benefit,benefit,similarity_score,regression_weight
191478,We spent some time after our appt talking about maintenance treatment and what could help at home.,0,spend time apt talk maintenance treatment help home,"['spend', 'spend time', 'spend time apt', 'spend time apt talk', 'spend time apt talk maintenance', 'spend time apt talk maintenance treatment', 'spend time apt talk maintenance treatment help', 'spend time apt talk maintenance treatment help home', 'time', 'time apt', 'time apt talk', 'time apt talk maintenance', 'time apt talk maintenance treatment', 'time apt talk maintenance treatment help', 'time apt talk maintenance treatment help home', 'apt', 'apt talk', 'apt talk maintenance', 'apt talk maintenance treatment', 'apt talk maintenance treatment help', 'apt talk maintenance treatment help home', 'talk', 'talk maintenance', 'talk maintenance treatment', 'talk maintenance treatment help', 'talk maintenance treatment help home', 'maintenance', 'maintenance treatment', 'maintenance treatment help', 'maintenance treatment help home', 'treatment', 'treatment help', 'treatment help home', 'help', 'help home', 'home']",1,0,0,0,0,0,0,0,0,0,0.0314465408805031,0.0
69133,"His analysis and diagnosis are easy to understand, which is helpful for the patients to reach reasonable decisions.",0,analysis diagnosis easy understand helpful patient reach reasonable decision,"['analysis', 'analysis diagnosis', 'analysis diagnosis easy', 'analysis diagnosis easy understand', 'analysis diagnosis easy understand helpful', 'analysis diagnosis easy understand helpful patient', 'analysis diagnosis easy understand helpful patient reach', 'analysis diagnosis easy understand helpful patient reach reasonable', 'analysis diagnosis easy understand helpful patient reach reasonable decision', 'diagnosis', 'diagnosis easy', 'diagnosis easy understand', 'diagnosis easy understand helpful', 'diagnosis easy understand helpful patient', 'diagnosis easy understand helpful patient reach', 'diagnosis easy understand helpful patient reach reasonable', 'diagnosis easy understand helpful patient reach reasonable decision', 'easy', 'easy understand', 'easy understand helpful', 'easy understand helpful patient', 'easy understand helpful patient reach', 'easy understand helpful patient reach reasonable', 'easy understand helpful patient reach reasonable decision', 'understand', 'understand helpful', 'understand helpful patient', 'understand helpful patient reach', 'understand helpful patient reach reasonable', 'understand helpful patient reach reasonable decision', 'helpful', 'helpful patient', 'helpful patient reach', 'helpful patient reach reasonable', 'helpful patient reach reasonable decision', 'patient', 'patient reach', 'patient reach reasonable', 'patient reach reasonable decision', 'reach', 'reach reasonable', 'reach reasonable decision', 'reasonable', 'reasonable decision', 'decision']",0,0,0,1,0,0,0,0,0,0,0.0256410256410256,0.0
187600,"or any situation that requires a lawyers help for compensation, he will not take you as a patient!",1,situation require lawyer help compensation not patient,"['situation', 'situation require', 'situation require lawyer', 'situation require lawyer help', 'situation require lawyer help compensation', 'situation require lawyer help compensation not', 'situation require lawyer help compensation not patient', 'require', 'require lawyer', 'require lawyer help', 'require lawyer help compensation', 'require lawyer help compensation not', 'require lawyer help compensation not patient', 'lawyer', 'lawyer help', 'lawyer help compensation', 'lawyer help compensation not', 'lawyer help compensation not patient', 'help', 'help compensation', 'help compensation not', 'help compensation not patient', 'compensation', 'compensation not', 'compensation not patient', 'not', 'not patient', 'patient']",1,0,0,0,0,0,0,0,0,0,0.0393700787401574,0.0
115145,I felt that he used fear to encourage surgery and did not explain the risks.,1,feel fear encourage surgery not explain risk,"['feel', 'feel fear', 'feel fear encourage', 'feel fear encourage surgery', 'feel fear encourage surgery not', 'feel fear encourage surgery not explain', 'feel fear encourage surgery not explain risk', 'fear', 'fear encourage', 'fear encourage surgery', 'fear encourage surgery not', 'fear encourage surgery not explain', 'fear encourage surgery not explain risk', 'encourage', 'encourage surgery', 'encourage surgery not', 'encourage surgery not explain', 'encourage surgery not explain risk', 'surgery', 'surgery not', 'surgery not explain', 'surgery not explain risk', 'not', 'not explain', 'not explain risk', 'explain', 'explain risk', 'risk']",0,0,0,0,0,0,0,1,0,0,0.0393700787401574,0.0
180497,We decided that a lift with implants would be the best option,0,decide lift plant good option,"['decide', 'decide lift', 'decide lift plant', 'decide lift plant good', 'decide lift plant good option', 'lift', 'lift plant', 'lift plant good', 'lift plant good option', 'plant', 'plant good', 'plant good option', 'good', 'good option', 'option']",0,0,0,0,0,1,0,0,0,0,0.0666666666666666,0.0
115952,They are there to help in anyway they can.,0,help,['help'],1,0,0,0,0,0,0,0,0,0,0.2631578947368421,0.0
112552,Doctor Meyerson took care of my problem and explained everything to me in tense I could understand.,0,doctor take care problem explain tense understand,"['doctor', 'doctor take', 'doctor take care', 'doctor take care problem', 'doctor take care problem explain', 'doctor take care problem explain tense', 'doctor take care problem explain tense understand', 'take', 'take care', 'take care problem', 'take care problem explain', 'take care problem explain tense', 'take care problem explain tense understand', 'care', 'care problem', 'care problem explain', 'care problem explain tense', 'care problem explain tense understand', 'problem', 'problem explain', 'problem explain tense', 'problem explain tense understand', 'explain', 'explain tense', 'explain tense understand', 'tense', 'tense understand', 'understand']",0,0,0,1,0,0,0,0,0,0,0.0393700787401574,0.0
65402,He speaks to you so you can understand,0,speak understand,"['speak', 'speak understand', 'understand']",0,0,0,1,0,0,0,0,0,0,0.1851851851851851,0.0
160167,I explained that I never miss any appts and couldn't understand why they had me down for 2 and not 1.,1,explain miss part understand not,"['explain', 'explain miss', 'explain miss part', 'explain miss part understand', 'explain miss part understand not', 'miss', 'miss part', 'miss part understand', 'miss part understand not', 'part', 'part understand', 'part understand not', 'understand', 'understand not', 'not']",0,0,0,1,0,0,0,0,0,0,0.0666666666666666,0.0
97055,Dr. Reichel promised me no risk of a negative outcome,0,promise no risk negative result,"['promise', 'promise no', 'promise no risk', 'promise no risk negative', 'promise no risk negative result', 'no', 'no risk', 'no risk negative', 'no risk negative result', 'risk', 'risk negative', 'risk negative result', 'negative', 'negative result', 'result']",0,0,0,0,0,0,0,1,0,0,0.0666666666666666,0.0
