commentId,comment,classification,comment_processed,word_phrase_list,join,healthy,healthy skin,healthy skin club,healthy skin club happy,skin,skin club,skin club happy,club,club happy,happy,happy result,result,similarity_score
162742,They were very attentive and advised me on how to keep my skin looking even more amazing than it already does.,0,attentive advise skin look amaze,"['attentive', 'attentive advise', 'attentive advise skin', 'attentive advise skin look', 'attentive advise skin look amaze', 'advise', 'advise skin', 'advise skin look', 'advise skin look amaze', 'skin', 'skin look', 'skin look amaze', 'look', 'look amaze', 'amaze']",0,0,0,0,0,1,0,0,0,0,0,0,0,0.2
92376,After surgery I was so happy and relieved and pain free that I tell everyone it is the best thing and,0,surgery happy relieve pain free tell good thing,"['surgery', 'surgery happy', 'surgery happy relieve', 'surgery happy relieve pain', 'surgery happy relieve pain free', 'surgery happy relieve pain free tell', 'surgery happy relieve pain free tell good', 'surgery happy relieve pain free tell good thing', 'happy', 'happy relieve', 'happy relieve pain', 'happy relieve pain free', 'happy relieve pain free tell', 'happy relieve pain free tell good', 'happy relieve pain free tell good thing', 'relieve', 'relieve pain', 'relieve pain free', 'relieve pain free tell', 'relieve pain free tell good', 'relieve pain free tell good thing', 'pain', 'pain free', 'pain free tell', 'pain free tell good', 'pain free tell good thing', 'free', 'free tell', 'free tell good', 'free tell good thing', 'tell', 'tell good', 'tell good thing', 'good', 'good thing', 'thing']",0,0,0,0,0,0,0,0,0,0,1,0,0,0.2
104673,"Friendly, informative, happy I selected this clinic.",0,friendly information happy choose clinic,"['friendly', 'friendly information', 'friendly information happy', 'friendly information happy choose', 'friendly information happy choose clinic', 'information', 'information happy', 'information happy choose', 'information happy choose clinic', 'happy', 'happy choose', 'happy choose clinic', 'choose', 'choose clinic', 'clinic']",0,0,0,0,0,0,0,0,0,0,1,0,0,0.2
145055,"I cant wait to try his CoolSculpt, many of my friends have done it and have seen amazing results.",0,wait try coolsculpt friend see amaze result,"['wait', 'wait try', 'wait try coolsculpt', 'wait try coolsculpt friend', 'wait try coolsculpt friend see', 'wait try coolsculpt friend see amaze', 'wait try coolsculpt friend see amaze result', 'try', 'try coolsculpt', 'try coolsculpt friend', 'try coolsculpt friend see', 'try coolsculpt friend see amaze', 'try coolsculpt friend see amaze result', 'coolsculpt', 'coolsculpt friend', 'coolsculpt friend see', 'coolsculpt friend see amaze', 'coolsculpt friend see amaze result', 'friend', 'friend see', 'friend see amaze', 'friend see amaze result', 'see', 'see amaze', 'see amaze result', 'amaze', 'amaze result', 'result']",0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
138270,result since this sagging skin is all I see when I look in the mirror.,1,result lag skin look mirror,"['result', 'result lag', 'result lag skin', 'result lag skin look', 'result lag skin look mirror', 'lag', 'lag skin', 'lag skin look', 'lag skin look mirror', 'skin', 'skin look', 'skin look mirror', 'look', 'look mirror', 'mirror']",0,0,0,0,0,1,0,0,0,0,0,0,1,0.3999999999999999
114069,Great Doctor Great staff Love the results of everything I have had done!,0,great doctor great staff love result,"['great', 'great doctor', 'great doctor great', 'great doctor great staff', 'great doctor great staff love', 'great doctor great staff love result', 'doctor', 'doctor great', 'doctor great staff', 'doctor great staff love', 'doctor great staff love result', 'great', 'great staff', 'great staff love', 'great staff love result', 'staff', 'staff love', 'staff love result', 'love', 'love result', 'result']",0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
168921,I have been going to the skin spa for many years.,0,go skin sea,"['go', 'go skin', 'go skin sea', 'skin', 'skin sea', 'sea']",0,0,0,0,0,1,0,0,0,0,0,0,0,0.2
168918,I usually see Vanessa but I met Sarah with Vanessa during her training and I was happy to see her while Vanessa was out.,0,normally vinesse meet vinesse train happy vinesse,"['normally', 'normally vinesse', 'normally vinesse meet', 'normally vinesse meet vinesse', 'normally vinesse meet vinesse train', 'normally vinesse meet vinesse train happy', 'normally vinesse meet vinesse train happy vinesse', 'vinesse', 'vinesse meet', 'vinesse meet vinesse', 'vinesse meet vinesse train', 'vinesse meet vinesse train happy', 'vinesse meet vinesse train happy vinesse', 'meet', 'meet vinesse', 'meet vinesse train', 'meet vinesse train happy', 'meet vinesse train happy vinesse', 'vinesse', 'vinesse train', 'vinesse train happy', 'vinesse train happy vinesse', 'train', 'train happy', 'train happy vinesse', 'happy', 'happy vinesse', 'vinesse']",0,0,0,0,0,0,0,0,0,0,1,0,0,0.2
113910,"I am so impressed with the JPlasma, I have no lose skin and no irregularities.",0,impress plasma lose skin irregularity,"['impress', 'impress plasma', 'impress plasma lose', 'impress plasma lose skin', 'impress plasma lose skin irregularity', 'plasma', 'plasma lose', 'plasma lose skin', 'plasma lose skin irregularity', 'lose', 'lose skin', 'lose skin irregularity', 'skin', 'skin irregularity', 'irregularity']",0,0,0,0,0,1,0,0,0,0,0,0,0,0.2
70462,I just finished my Invisalign and I could not be happier.,0,finish invisalign happy,"['finish', 'finish invisalign', 'finish invisalign happy', 'invisalign', 'invisalign happy', 'happy']",0,0,0,0,0,0,0,0,0,0,1,0,0,0.2
